。,1604,1604,-3297,特殊,句点,*,*,。,。,*
、,1606,1606,-3508,特殊,読点,*,*,、,、,*
“,1,1,1168,*,“,“,*
”,2,2,1213,*,”,”,*
『,5,5,1142,*,『,『,*
』,6,6,1163,*,』,』,*
「,3,3,1550,*,「,「,*
「,4,4,1550,*,」,」,*
